Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A3Q0KDV9	Septin-10 (SmSEPT10)	GDP binding [GO:0019003]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	septin complex [GO:0031105]; vesicle [GO:0031982]	protein homooligomerization [GO:0051260]
A0A3Q0KR05	Beta-alanyl-bioamine nonribosomal peptide synthetase (EC 6.3.2.-) (Nonribosomal peptide synthetase) (SmNRPS)	beta-alanyl amine synthase activity [GO:0003833]		amino acid adenylylation by nonribosomal peptide synthase [GO:0043042]; female genitalia development [GO:0030540]
P09792	Glutathione S-transferase class-mu 28 kDa isozyme (GST 28) (EC 2.5.1.18) (GSH transferase S.m. 1-1) (Protective 28 kDa antigen) (Sm28 antigen) (Sm28GST) (Smp28)	glutathione transferase activity [GO:0004364]		
A0A3Q0KDC9	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]
A0A3Q0KGU1	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]	cytoplasm [GO:0005737]	deoxyribonucleoside triphosphate catabolic process [GO:0009204]; nucleotide metabolic process [GO:0009117]
A0A3Q0KU51	CAD protein (EC 2.1.3.2) (EC 3.5.2.3)	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]
A0A5K4F1D0	Zinc finger protein GLI1	metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	nucleus [GO:0005634]	positive regulation of DNA-templated transcription [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]
A0A5K4F3Y0	ATP-binding cassette sub-family B member 6 (EC 7.6.2.5) (ABC-type heme transporter ABCB6)	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	early endosome membrane [GO:0031901]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; melanosome membrane [GO:0033162]; mitochondrial outer membrane [GO:0005741]; multivesicular body membrane [GO:0032585]	
G4VB10	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922]	cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule severing [GO:0051013]
G4VGI0	Uridine phosphorylase A (SmUPa) (EC 2.4.2.3)	identical protein binding [GO:0042802]; uridine phosphorylase activity [GO:0004850]	cytoplasm [GO:0005737]	nucleotide catabolic process [GO:0009166]; UMP salvage [GO:0044206]; uridine catabolic process [GO:0006218]
G4VJD6	Dihydrofolate reductase (EC 1.5.1.3)	dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]		glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]
P16237	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]	endoplasmic reticulum membrane [GO:0005789]; peroxisomal membrane [GO:0005778]	cholesterol biosynthetic process [GO:0006695]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]
P16641	Taurocyamine kinase (EC 2.7.3.4) (ATP:guanidino kinase Smc74) (ATP:guanidino phosphotransferase) (SmGK)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; taurocyamine kinase activity [GO:0050324]		phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]
P41759	Phosphoglycerate kinase (PGK) (EC 2.7.2.3)	ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]		glycolytic process [GO:0006096]; phosphorylation [GO:0016310]
P48501	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
Q01137	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]	cytoplasm [GO:0005737]	
Q26551	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	endoplasmic reticulum lumen [GO:0005788]	protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
Q26609	Hexokinase (EC 2.7.1.1)	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; mannokinase activity [GO:0019158]		glycolytic process [GO:0006096]; hexose metabolic process [GO:0019318]; intracellular glucose homeostasis [GO:0001678]
Q27778	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	fructose 6-phosphate metabolic process [GO:0006002]
Q86MW9	E3 ubiquitin-protein ligase sina (EC 2.3.2.27) (RING-type E3 ubiquitin transferase sina) (Seven in absentia homolog) (SmSINA)	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
A0A0F7DCW8	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0F7IJ16	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0F7IJS9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
